,Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,mean_price/m,std_price/m,district_class
275,1300,524.8779401412505,60,2,2,1,1,1,1,0,30.058304914488353,15.139146507512537,D
276,500,300.6412402925759,40,1,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
277,850,392.150595272836,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
278,940,353.63327903830697,43,2,2,1,1,0,1,0,36.99486182214457,21.366743561269978,D
279,1500,200.0,72,4,2,1,1,0,0,1,29.89023813563203,15.687458326582117,D
280,1200,300.0,45,2,2,1,1,1,1,1,36.99486182214457,21.366743561269978,D
281,1100,336.9347411083819,40,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
282,1100,363.3115459225219,43,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
283,1300,320.0,68,3,2,1,1,1,0,0,30.058304914488353,15.139146507512537,D
284,810,398.52329682316224,49,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
285,2300,717.2511322382937,75,2,2,1,2,0,0,0,29.89023813563203,15.687458326582117,D
286,650,190.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
287,600,746.3035706642099,90,1,2,1,1,0,0,0,31.010996311706176,17.639604246052702,D
288,900,360.00598058863324,44,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
289,900,200.0,54,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
290,1100,120.0,50,2,2,1,1,1,0,0,29.32834936571854,14.841037015136015,D
291,700,160.0,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
292,800,200.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
293,900,200.0,53,3,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
294,750,115.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
295,1000,100.0,52,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
296,900,412.7595902169132,50,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
297,850,120.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
298,1100,477.6110334504618,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
299,800,150.0,48,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
300,850,541.6191558862959,65,2,2,1,1,0,0,0,30.058304914488353,15.139146507512537,D
301,1100,486.4033017218418,57,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
302,900,386.3827854027732,47,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
303,1300,300.0,55,2,2,1,1,1,1,0,29.32834936571854,14.841037015136015,D
304,800,100.0,45,2,2,1,1,0,0,0,36.99486182214457,21.366743561269978,D
305,880,120.0,56,2,2,1,1,0,0,0,29.32834936571854,14.841037015136015,D
306,900,130.0,48,2,2,1,2,0,0,0,36.99486182214457,21.366743561269978,D
